0000109A	Sign function
0B9DBA87	Fundamental theorem
0BA0E97F	Process management
0BA95AA9	Omega baryon
0BAA3693	Facial expression
0BB38DF0	Girder
0BB51FF6	Pertactin
0BBA6908	Standard addition
0BC1C738	Seawater
0BC44663	Cross modal plasticity
0BC922BD	Gamma matrices
0BCD5D6D	Computation tree logic
0BCDA013	Interceptor pattern
0BCFFB82	Electron localization function
0BDCBF66	Graphics software
0BDEBA55	Kroll process
0BE5013B	Indirect tests of memory
0BE59ADF	Dopamine receptor D3
0BE60A14	Complete spatial randomness
0BE633BB	Earth's magnetic field
0BE64165	Engineering drawing
0BF04B24	Recovery time actual
0BF4F21A	Independent equation
0BFAA542	Cel shading
0C055C95	Specification language
0C0BFFE6	Photovoltaic thermal hybrid solar collector
0C0ED9FD	Loop quantum cosmology
0C15786F	Meroplankton
0C1DA632	p-Laplacian
0C1E0D06	SUHA
0C2F5704	Front
0C3161A6	Edge contraction
0C31FCFE	Forsyth–Edwards Notation
0C32B4C8	Mead & Conway revolution
0C361428	Double-ended queue
0C3C2474	Onomasiology
0C46B51C	Operational level of war
0C48EA33	Business Model Canvas
0C496FCA	Raw material
0C4B7B1D	HRP-4C
0C4DC444	Bézier curve
0C52DF24	Complex conjugate vector space
0C5566FB	Flight dynamics
0C64C609	Synthetic substance
1DDD4622	Burma studies
1DF4C941	Regionalism
1E124B6D	Genetic Studies of Genius
1E15CA27	Turkish music
1E29F305	History and Anthropology
1E472CDC	Agricultural education
1E49179D	Ozone
1E812D18	Chromium
1E9FEAB8	Protoscholastic writing
1EABCB4E	Mating
1EB34DC6	Sikhism
1EBE768F	Arithmetic–geometric mean
1F24A445	Livermorium
1F5B26CD	New Urbanism
1F6052CF	Charcoal
1F67F486	Comparative mythology
1F9DBCD8	Aegean civilizations
1FAF79B2	Colonialism
1FE7E56F	Amazon rainforest
20072309	Economic liberalization
202826EB	Glass
2031BB4C	Laboratory glassware
20C3BA19	Structure of the Earth
20E17682	Spacecraft design
2136247C	Vedic period
213F5928	Industrial history
0003E975	Slip line field
0008D30F	Base course
000AF02F	Sonoluminescence
0012174D	Antisymmetrizer
001218D8	Caspase 10
00161D1E	Visibility polygon
00197524	Data management
001AD98F	Networked control system
0025C192	Text corpus
0026C1C8	Double auction
00278A49	Aerobraking
00347E98	Genetic determinism
003F53ED	Bioelectromagnetics
0042C3EF	Technetium-99m
00449928	Terminal equipment
0048BF27	Red Storm
004AC375	Acoustic interferometer
004CD7A8	Apse
004CE6A0	Kaufman Assessment Battery for Children
004E71F9	Anaerobic exercise
0050D63F	Autocorrelation
0056FE61	Pearlite
005C3825	Refractometer
005F4667	Index fund
00606DCB	NTIME
0063AE14	Co-channel interference
00689D49	Price equation
006A4A9D	Scalenohedron
006B97CD	Collodion
006DEEB6	Carbon nanotube nanomotor
006F88D4	CYP27A1
0071FCB4	Dual-modulus prescaler
007BC90C	MIDI
0088DD78	Cost curve
008E4F15	Ideally polarizable electrode
00A062A6	SECD machine
00A50279	Scytale
00A5981C	Viral structural protein
00AD2513	Petite bourgeoisie
00B2F26A	Inpainting
00B44B98	Ashen light
00BC440F	Zone of proximal development
00D6E75F	Zoopraxiscope
00DA6902	Forensic electrical engineering
00DD61E6	Qualified personal residence trust
00E5DE45	Five points determine a conic
00E6849D	Learning disability
00E77216	Roy's safety-first criterion
00E8915C	Investment banking
00E942A8	Computational neuroscience
00EB7CF1	Neuromodulation
00EE2282	Eighth note
00F04CC3	Final stellation of the icosahedron
00F41CA6	Tent map
01025562	Stromal cell
0102AA09	Rotational temperature
0105DEFA	APICA
010A469A	Dendroarchaeology
01161330	Signedness
011E0F97	Martensite
0127F257	Landfarming
013233C6	Exergonic process
01338CC2	Holism
013A062A	Ahnentafel
0140B70C	Orbital magnetization
01476933	Process automation system
014DE445	Power density
0152872A	Sangaku
0152CAA9	Sigma approximation
0155E095	Neomorphism
01568909	Berry connection and curvature
01577590	PEST analysis
0157950A	ACVR2B
015D31B0	Carbon sequestration
015F7130	Enterprise value
01625582	Blasius boundary layer
016870AA	Reservoir capacitor
01694AB9	Psychophysiology
016CC780	Affinity analysis
016EA3F5	Online aggregation
01722B89	Chemical similarity
01757AF6	Rate of climb
01891591	Mission control center
019B669C	Self-deception
01A0ABB4	Animation Director
01A52F5A	Complex manifold
01A59315	Decimal degrees
01A6DD31	Global serializability
01A80F4E	Human processor model
01ACAA5F	Engram
01AF40BE	Marking out
01B0B88A	Boundary conformal field theory
01BF4D63	Gradation
01C0B51A	Fisher information
01C0E01F	Dative case
01C1FAA2	Painter's algorithm
01C79E7B	Ruin theory
01CAE009	Diagonalizable matrix
01CE03E7	Chimera
01D5CC1C	Timed automaton
01D68896	Reset vector
01D9D0F1	Fluid catalytic cracking
01DCDD5D	Regiomontanus' angle maximization problem
01DF6D82	Trickle charging
01E22D56	Bisection
01E457FB	Microsoft Video 1
01E573F1	Fano factor
01EBCB48	Uncertainty quantification
01F23161	System Wide Information Management
01F66773	Alveolar gas equation
01F6780E	Function series
01FA8F9D	Nanoshell
01FAF06A	Identity function
01FB0245	Relative luminance
01FD1761	Bricks and clicks
01FD503E	Adaptive beamformer
01FF676E	Megaspore mother cell
02046607	Foreign direct investment
020BD427	Nacelle
020DBE3E	Electret
0211E4FE	Cholesky decomposition
021264F3	Blank node
02127EAC	Force
0215BE0D	Supralittoral zone
0219AA83	Askey–Wilson polynomials
021A176E	Opacifier
0222EFDB	Hereditarianism
0228ACB7	Prüfer domain
0234F741	Nutation
0237A9B3	Phrase search
0238241C	Overdominance
0238E14B	Greisen
02392E48	Spectral splatter
023AE9B4	Capacity of a set
024A763D	WS-I Basic Profile
024DCD9A	Interfacial thermal resistance
02579B51	DigiCipher 2
02589BF9	Dead clade walking
025A2924	Coastal hazards
025C774A	Patronymic surname
02613EC6	Vibration-powered generator
02621A4D	Gustav III of Sweden's coffee experiment
02651580	Allosome
02659BCF	Line management
02692E55	Homonuclear molecule
026EBC9C	Spacetime topology
0270B2BF	Rayleigh distribution
02759ADB	Data deficient
027BB35D	External variable
0287B76F	Sectional curvature
028D9055	Stride of an array
02989BFB	Conditional probability distribution
0299FAA9	Information technology operations
029A45B2	Cryogenic treatment
029D3D3C	Davis wing
02A5EB97	Macro-haplogroup A
02A71F7B	Truss bridge
02A77067	Priority effect
02B01B59	Atmosphere of Mars
02B1CAC2	Nanoscopic scale
02B22B1F	Primary and secondary groups
02B8DFDA	Prices of elements and their compounds
02BE1640	Best-first search
02C2E9AA	Organoleptic
02C3707B	CMOS
02C5CDF4	Drift mining
02C7263E	Glide reflection
02C75558	COPII
02CAA450	Shell in situ conversion process
02CACB1E	Monatomic gas
02D36090	Volume testing
02E7C2E1	Organic matter
02EAE0B7	Visitor pattern
02F16935	Computational photography
02F4B47A	Starter solenoid
02F7F853	Nuclear localization sequence
030350D4	Keratin 8
0306BE4F	Physics education
03078858	Single-phase electric power
03104BF9	Lidar
0310CD4A	Independent component analysis
0312E0DF	Lie algebra
03143EE0	Endothelial microparticle
0317AEDD	PRKCB1
031971CF	Torsion constant
031AA62E	Endoenzyme
031CD226	Perfect fluid
0329396F	Condensation polymer
03299EBC	Multilevel model
032B9BC1	Rosetta@home
03357BF0	Gas bubbler
03365600	Drawbar pull
033E9070	Late-life mortality deceleration
033EF868	Circulatory system of gastropods
0345DA7C	Cabibbo–Kobayashi–Maskawa matrix
03465A2A	Fetal position
0347DF9C	Marquis reagent
034882EB	Triangulation
034C8435	Cardiac notch of stomach
034D0E6F	Swift Gamma-Ray Burst Mission
0351774B	Exact division
03561C6E	Variable displacement pump
0359038A	Interleukin-13 receptor
03596A1E	Peptide hormone
035CBA78	Native advertising
03615237	Phreatomagmatic eruption
03685D25	Thermochemical cycle
036BFA13	Picture line-up generation equipment
036C32BE	Inline function
0371E347	Deterministic encryption
0375D372	Quantum computer
037A90A0	Deuterium
0382AEEA	Rank of a partition
0385936C	Fracture mechanics
0385995A	Black hole information paradox
03903FCE	Political ecology
0396F875	Nose cone design
0398DE8C	U-matrix
03996BA3	Frobenius theorem
039B2DC2	Clock skew
03AB983E	Relational grammar
03ACCF0B	Global optimum
03B08B22	Boundary scan description language
03BBE236	Variance reduction
03C125F6	Gossip
03C15831	Scoring rule
03C2DBC6	Fate mapping
03C3E4EE	Sprechgesang
03C6A90C	Extragalactic planet
03CBA211	Hume-Rothery rules
03CEC6C7	Portable Object Adapter
03D0BF92	Iodine value
03D24614	Market price
03D42AA3	Pretzel link
03E8478D	Noodling
03E8E73A	Master clock
03ED634C	Linear multistep method
03F43A25	Sustainability and environmental management
03F58BEE	Zeta distribution
03F6FCC3	Primitive streak
03FCF7BC	Biodiesel production
040563A1	Primary standard
0406FC35	Transit of Earth from Uranus
04125C69	Orthopedic surgery
0414D3FC	TBX1
0415329E	Gravitational lens
04196172	Folk taxonomy
041A17B2	Transversal
041D5705	Black's equation
0423533C	Manufacturing Automation Protocol
04269E84	Continuous signal
042CA071	Reflecting telescope
04326306	Triangle center
0432896E	Repeater
04340E4F	Stencil lithography
04371FDC	Computational biology
0437BE55	Open Data Protocol
0439EEEF	CD30
043D6C92	Kernel density estimation
043E019A	Envelope
0445FDC8	Semantic Web Rule Language
044F817D	Extratropical cyclone
045AB0BB	Displacement operator
0464AEE5	Cenozoic
04677A12	Service Integration Maturity Model
046B31C4	Absolute neutrophil count
046F783A	Venipuncture
047081A2	ExpressCache
04782F2A	Arts administration
047F532B	2D computer graphics
04870121	Portfolio investment
04892B40	Emulsified fuel
048E758E	Negative-calorie food
0490E574	Type 1 product
0495F1D5	Laccase
049DD4FB	Diplomatics
04AED08F	ENPP7
04AFE017	Lonely runner conjecture
04B40E4F	Organizational theory
04BCC9A0	Bruce effect
04C08481	Primitive cell
04C82BB8	Genetic counseling
04CBB493	Dipeptidase
04CE78F3	Molecular anthropology
04D41640	Elementary abelian group
04D631AD	Discrete modelling
04D6D749	Radial tree
04D8C4A5	Humanistic psychology
04DCEDAE	Dynamical simulation
04E239DD	Income trust
04E84313	Director string
04EC64F8	Dirac equation
04ED46CE	Shear
04F4D533	Herbrand–Ribet theorem
04F523E8	NEUROD1
04F9F22D	Data striping
0503CE7E	Linear inequality
0505C308	Google Penguin
050D8796	Nucleosome
050F36B6	Composition B
05107FE8	Flexible electronics
0513C3FA	Dusk
05156A22	Personnel economics
0518A847	Renting
051A3936	Photodetection
051A46FE	Wireless broadband
051A9EEA	Complementarity determining region
051FEA6E	Model View ViewModel
05227906	Peptide sequence tag
05229AB9	Tandem mass tag
05270B5F	Application firewall
05326C37	Polling system
0532F4EA	Leghemoglobin
0537DD95	Exhaust manifold
053A57C9	Aquatic science
053EDD23	REMUS
053F47CB	Tuberculum impar
054287D4	Residue theorem
05465F5E	Hedgehog signaling pathway
0553D581	Death-associated protein 6
05547F0E	Microbiology
055C4AD7	Exploratory surgery
055C8E52	Inverse agonist
05602D64	Guided Local Search
0561ABC8	Corporate group
0563852B	Quantum annealing
0563E683	Auxiliary line
05678921	Grand mean
0570D410	Mobile ad hoc network
0575AA5D	System context diagram
057B48DC	Methyltransferase
05829722	Digital microfluidics
0586C138	Plaintext
0587D604	Multiplicative group
0588A3D9	Square pyramidal molecular geometry
058D8F32	Carpet plot
059BFFCE	Allomorph
05A01F3D	Planning
05AA759B	GSM frequency bands
05ACE8FE	Sand-based athletic fields
05AE3800	IT8212
05B1168F	Mobile telephony
05B6AD12	Vector bundle
05BD1BA8	Castner process
05C145E7	Dip slope
05C16F9C	Worst-case complexity
05C5B125	Disc rot
05C9EAA5	Frequency analysis
05CD5849	HEXA
05CF8DCA	Membrane reactor
05D764FC	Ekman layer
05DE1466	Bethe formula
05DE5FF3	Lightweight methodology
05E54D45	Gradual release of responsibility
05E7286B	Herbal smokeless tobacco
05E8E687	Electronic circuit design
05EBAADB	Hemagglutinin
05F02EF2	Environmental stress screening
05F3269F	Swap
05F3F5C0	Loop dependence analysis
05FE1542	Boreal
060C790F	Factorial moment
060DDD84	Calcium ATPase
061D0722	Universal set
061FC046	Homologous recombination
0637BD6B	Serre duality
063E2917	Hamiltonian path problem
063F876A	Neprilysin
0644DE4C	Comparative genomics
0646AEC5	Categorical quantum mechanics
064F3472	Power Architecture
064F7FD6	Air cooling
0651EDB5	Hail cannon
0658D939	Kraft process
065E05DD	Dielectrophoresis
0661844E	Precipitation
06631706	Photonic-crystal fiber
066583D4	Local positioning system
0667C81C	Adaptive control
066E1AF1	Ultramicroscope
067670D2	Oceanic zone
06812E88	Saturated mutagenesis
068380DA	Kondo effect
0683829C	Stratigraphy
0683E730	Machine perception
06884372	Derived category
068954B4	Duck embryo vaccine
068CA38B	Lapping
068CC2D8	Purchasing power parity
06932787	Thermoluminescence dating
06942EE3	Tidal atlas
06963472	Renewal theory
06A89F6A	Bee learning and communication
06AD31EC	Liquidmetal
06AE2B3E	Irrigation management
06B45684	English auction
06B6C761	Generalised logistic function
06BBB38B	Supercooling
06BC919A	Common Scrambling Algorithm
06C07884	C99
06C535C6	Enzyme Commission number
06CFEEC2	Null-move heuristic
06D1C4D8	Hypersurface
06D5CC37	Tridecagon
06DAE5AD	Potting
06DE716B	Template metaprogramming
06E52535	Gradient method
06E833C3	Bay
06E9E5EF	Systems Biology Ontology
06FE935A	European Social Survey
07006F16	Network layer
070096F4	Co-occurrence matrix
070BC322	Maximal ideal
070CC3BD	Correlated double sampling
071262EB	Endospore staining
07132251	Time signature
0713B62C	Color rendering index
071A34C4	Acetylation
071F3BDC	Leadership analysis
0720943B	Borderline tree
0721470C	Energy landscape
0723310B	Power of appointment
072332D7	Exposure
07253748	Meteorological reanalysis
0727F59B	Ultra-large-scale systems
072C945C	Trigonometric series
072DE050	Seismic moment
073C2156	Total internal reflection fluorescence microscope
073FC19C	Back-stripping
075032B2	Caccioppoli set
075425ED	Double planet
07588D3B	Bimolecular fluorescence complementation
0758CCAF	Kleene's recursion theorem
075BECC9	Polymorphic simple sequence repeats database
075E2250	Cubic zirconia
07613F52	Personal area network
0761F4EF	Opinion
07635FDF	Manual transmission
07637541	Elliptic function
07679A32	Hot desking
076B0920	Alarm signal
076B9FCF	Pohlig–Hellman algorithm
0772CCB3	Precursor cell
0774DAAE	Relative dating
077BCA42	Ethical egoism
077F264C	Axiomatic system
07819240	Zipf's law
07868074	Mathematical optimization
07907C16	Embarrassingly parallel
07912A27	Neural cryptography
07955C2B	Integration by substitution
07988724	Polynomial expansion
079B2406	Frölicher–Nijenhuis bracket
079B9339	Kepler-37d
079CFD72	Dynamic inconsistency
07A15CAA	Boiler water
07AC128F	3D optical data storage
07B5317B	Compositing
07C095DA	True airspeed
07C45F5F	Biogeochemistry
07C5BFDC	Protein fragment library
07CB741C	3.5G
07D24456	Ratione soli
07D6BC2B	Lagrange's four-square theorem
07D7CED5	Structural complexity theory
07DBFBDF	Equivalent
07E31074	Speculative demand
07EF250B	Associative Sequence Learning
07F35096	Dielectric
07F424AE	Gyrocompass
07F7AD50	Genetic hitchhiking
07FAB5C5	Multiplet
07FB8951	Life expectancy
08000D60	Alternative investment
08001A1A	While loop
080440F1	Hectograph
0807B27D	Distortion
0808612F	TI Explorer
0808C64A	Unresolved complex mixture
080F5D57	Rock fragment
081083D1	FLP-FRT recombination
0814FCEF	Pentode
08154310	Accrued interest
08155F1F	Axiom S5
08157491	Closing
08254A5E	Co-orbital configuration
08267879	Character
0826E565	Mott insulator
082727F8	Serre spectral sequence
082DCF5A	Synthetic seismogram
082E399C	XM1216 Small Unmanned Ground Vehicle
0835097A	Thermal resistance
08351230	Ceramic resonator
0835373B	Antenna aperture
083587D2	Audit committee
083C0E78	Oil-storage trade
083DB47B	Pfaffian constraint
084C1B12	Connection-oriented communication
084CFF2C	ICAM3
084E500C	Deniable encryption
084E67B2	Quantum discord
0856E368	Logarithmic scale
08594319	Metaphilosophy
08597CDE	Bengali grammar
085B8DE6	Imagery analysis
0860AD71	Morphological dictionary
0862076D	Pseudorandom number generator
08681C2B	Validity
086B9760	Depth map
08828C16	Cloud height
0882B87A	Slosh dynamics
0891F426	Orbifold
0892F731	Docking and berthing of spacecraft
089C8746	Celestial navigation
089F461A	Voltage source
08A1C26C	Emergency brake assist
08A2AD50	Gonadal cord
08A32D00	3-Way
08A684B0	Cortical implants
08AB10BD	Exception handling
08AE3026	Nonverbal communication
08B07115	Trim
08B15E80	Point
08B193F9	Medical sociology
08B78C1E	Absurdism
08BF102B	Internet layer
08C27414	Geometric dimensioning and tolerancing
08C39BCC	Minimum bounding box
08D464FB	Computer Automated Measurement and Control
08D87CEC	Ordinate
08E59BFE	Cotransformation
08EBD347	Hypertext Transfer Protocol
08EE084B	Ecoagriculture
08F1D066	Imitative learning
08F3B737	Cleaved amplified polymorphic sequence
09066F35	Teaching and learning center
0906E863	321 kinematic structure
090B39EA	Paleontology
090D29B0	Cistrome
09139AE6	Shearing
0916A190	Short circuit ratio
09184B7A	One-way analysis of variance
091D3895	Time-dependent gate oxide breakdown
092315D3	Meteorology
092E238C	Path integral formulation
092F5B36	Big-game fishing
0930CE6C	Teuthology
093535F1	Mainstreaming
093891CA	Temperate deciduous forest
093AB933	Engraving
093B1259	United States Invitational Young Physicists Tournament
093B31FB	Medical classification
093E9A97	H.323 Gatekeeper
0940E2C9	Booch method
0947D2BE	CYP1B1
0947F519	Inotrope
094C2543	Extracellular signal-regulated kinases
094C72C8	Transfer-matrix method
094F6106	Grimstad Line
094FB1A9	Chiral resolution
09512457	Steering Committee
09519267	Enumeration
0956FEEC	Prime triplet
095DFFD7	Annual plant
095EC700	Conservation of mass
0963BFAB	Work ethic
09737C2C	Volans
09786949	Latin Americans
09829A34	Lost-wax casting
098306DD	Hash list
0984BAC4	Phonocardiogram
09851F08	Engineering geology
098785EF	Fundamental group
0988E17C	Comet dust
098A6ED2	Fanout cable
098A8741	Onager
098CFB0F	Bayesian inference
09902DC8	Per capita income
0997D58C	Subtropical ridge
0998B8CE	Gauche effect
099E4E05	Gram
09A061EF	Direct proof
09A23175	Small molecule
09A30805	Sulfite process
09A53DDB	Mortgage yield
09A5F8D1	Type A and Type B personality theory
09A91A9E	Tax credit
09B4B805	Tracheid
09B96A93	TRPM8
09BCF82B	Landfall
09BDB802	Cash flow
09C1B0A7	3D cell culture
09C26C6F	Fractal tree index
09C8932D	Cliff
09C9C7BA	Violin musical styles
09CA92C6	Aridity index
09CBB9EC	Mean free time
09CD1790	Doxie
09D60EA9	First playable demo
09D67D7D	Voltmeter
09DB8FCD	Stinger
09E60A18	Solid angle
09E88C71	Time management
09E9B821	Protein–lipid interaction
09ED5F2D	Pyrophoricity
09F00CCC	Structural unit
09F5CFFF	Superfield
09FE26CF	Plot
0A01B157	Counter-illumination
0A0254C5	Nazi concentration camps
0A061EE9	WIMP
0A0F1F14	Rural settlement
0A114369	Chlamydospore
0A128913	Mean free path
0A13CD2D	Fractional programming
0A15D669	Giro
0A214D55	SUV39H1
0A2D9A20	Agreeableness
0A303CE8	Certificate server
0A33676F	Integrated circuit development
0A37EB7E	Aircraft vectoring
0A39A964	Ovipositor
0A4B6361	School Psychology
0A4C7EE2	Period
0A4CFE4F	Soil functions
0A4E57ED	AC adapter
0A589440	Requirements management
0A59B06C	Cauchy momentum equation
0A5ED012	Furanose
0A618900	Beachcombing
0A649B33	Fugit
0A66A4EF	Ring-opening metathesis polymerisation
0A67667B	Cloud base
0A6D373D	Comparison sort
0A7233B5	Flow birefringence
0A7C853D	Listwise deletion
0A7E1836	Software quality control
0A7E31E8	Slow afterhyperpolarization
0A7EF729	Nominal size
0A7F07F1	Bridge
0A804FB4	Nondeterministic algorithm
0A8B7892	NLRP1
0A8F531A	Creepmeter
0A91025B	Retinal regeneration
0A946E6C	P680
0A960EA6	Adaptability
0A97F691	Mesoscopic physics
0A9B4EE6	Orbital inclination change
0AB51470	Calcitriol receptor
0AB8D473	Higgs field
0ABDFF45	Parge coat
0ABFE1FC	Pauli matrices
0AC75C97	Tricolorability
0AC8D14D	White box
0ACCD906	Single Compilation Unit
0ACD5B90	FOX proteins
0ACF2D20	Secular equilibrium
0AD25467	Volume viscosity
0AD681DF	Gauge theory
0AD6B53E	Digital elevation model
0AD959AE	Hierarchical RBF
0ADE0168	Web standards
0ADE87E3	History of chemistry
0AE0FB73	Nat
0AE4CB53	Illinoian
0AE5784C	Horn antenna
0AE66F3A	Computational lithography
0AEA372C	Telemetry
0AEC08A5	Bruck–Ryser–Chowla theorem
0AED2D84	Janus kinase 3
0AED4905	Context model
0AEE824B	Mixing
0AF2C524	Solar physics
0AF383A9	Coincidence of wants
0AF3A5B8	Pumped-storage hydroelectricity
0AF8076C	Oscilloscope
0AF8DDB5	Special somatic afferent
0AFA4CE3	Piecewise linear manifold
0AFAE560	Strategic leadership
0B02C27E	Heteroecious
0B03E44C	Dihydrogen cation
0B0782A2	Method engineering
0B0B4D69	Crucible steel
0B16420F	Polymerase chain reaction optimization
0B1A73D8	McNemar's test
0B1B1A71	Cavendish tobacco
0B1EFFDD	Pharmacometabolomics
0B20317D	First-hitting-time model
0B24476E	Principal curvature-based region detector
0B28822C	FMRIB Software Library
0B2EDF5E	Iodometry
0B380494	Workflow engine
0B465BCD	Parallel postulate
0B47E0B1	Liquidity risk
0B50310C	Ramanujan–Nagell equation
0B513E33	Sir Philip Sidney game
0B54FFB9	Microemulsion
0B5B3F9D	Magic realism
0B5ED69B	Enthalpy of mixing
0B5FE828	Do while loop
0B5FFF58	Potential flow around a circular cylinder
0B612D7D	Oidium
0B67FC09	Magneto-optic Kerr effect
0B6D0CEC	Stress–energy tensor
0B6D8793	Software regression
0B71ED4C	Intermediate bulk container
0B74B06B	GATA1
0B7AFD25	S5
0B7F5C23	Object Linking and Embedding
0B80CAF6	Metabolic pathway
0B833A68	Packaging engineering
0B862927	Metallizing
0B869FF6	Quadrant count ratio
0B88DEEC	Data loss
0B907C91	Stable ocean hypothesis
0B91D09E	Biblical studies
0B91E7A0	Right of redemption
0B97BE0B	Specific potential energy
0B97C41D	Surgical pathology
0B99CA59	CLOVER2000
0B9A6D27	Web accessibility
0B9D7309	Quantum Zeno effect
0BAA5142	Intrinsic value
0BAACCBE	Recession
0BAD48BB	Overdrive voltage
0BAE2BBA	Thermochronology
0BB75AA8	Class-responsibility-collaboration card
0BB9371F	Technical management
0BBE44DA	AltiVec
0BC2E0CC	Pioneer species
0BCD4133	Acid–base titration
0BD7C619	Curve25519
0BD83C8F	Walk-through test
0BDA7BDE	Basophil cell
0BDBCFD3	Best alternative to a negotiated agreement
0BDFCB75	Slit
0BE02318	Wheeler–DeWitt equation
0BE3813D	Intersection number
0BE4B5DE	Topological map
0BE8B612	War Refugee Board
0BF2966D	Supersaturation
0BF510DC	Theism
0BF7A25C	Egorov's theorem
0BF9DB83	Issuing bank
0BFBD1D9	Environmental epidemiology
0BFF6BC3	Rado's theorem
0C00C72D	Reification
0C014760	Multithreading
0C03D2C7	National data protection authority
0C10A135	Antisense RNA
0C11D3AD	Oklahoma primary electoral system
0C139977	Social pedagogy
0C17DAE2	Subjectivity
0C20855D	Extensional tectonics
0C20C343	Complement component 3
0C27DACD	Pupil magnification
0C2F55CC	Rayleigh distance
0C318A19	Turbulence modeling
0C3D6322	Bidimensionality
0C43B2E9	Heating degree day
0C475AB4	Undark
0C47A07E	Müller-Lyer illusion
0C4A468D	Convex hull
0C623B7C	Two-element Boolean algebra
0C624D8B	Self-shrinking generator
0C624E06	Singularity theory
0C670A7A	G-LOC
1DD502B7	Ageing
1DFB06B4	Agricultural land
1E0C6DDC	Compact disc
1EB30002	Enterprise application integration
1EB69658	Patristics
1EB8D9D5	Matriarchy
1EF04884	Calcium
1F99D69E	Clothing
1FC0C363	Western culture
2010609E	Audio mixing
202EB8EB	Iodine
2036545C	FinTech
203F4D1E	Military technology
204A5979	Archaeological science
204A8B93	Monetary reform
20571052	Barium
207D9B54	Product management
20B0904A	Xenon
20CFA49F	Roman Empire
20D4FD55	Greek mythology
2113A92F	Reading
211C9131	Milky Way
212AB748	Asceticism
0002487D	Detection of genetically modified organisms
0005CAAF	Takt time
000B82CB	Scientific management
0011EB7E	Archimedean spiral
001DED02	Fallstreak hole
0022FCE7	Quark–gluon plasma
002666CB	Reflow oven
002C17C3	Blood irradiation therapy
002E1B9E	Smartdust
002E756B	Bond cleavage
00350099	Design rationale
0040583A	Business model
0049CF52	Bogon filtering
004DEC1D	Fundamental representation
0051A185	Distance matrices in phylogeny
005366FC	Red tide
0055B943	Partial regression plot
005CBC1A	Complex quadratic polynomial
0065A7F4	Flameout
006B1A2E	Auto-antonym
007143CF	Group scheme
0072AD4F	Stress testing
0075CE7B	Power of two
007C5BAA	Session hijacking
007CE5CB	Amplicon
0081952E	Quantum spacetime
0083D40F	Invariant extended Kalman filter
0086FB95	Galvanization
0088E0DE	Hayashi track
009252B0	Pheromone trap
00937718	Sociocultural anthropology
009DB44F	Histamine H1 receptor
009EF900	AND gate
00A0974A	Druglikeness
00A12A43	Artificial seawater
00A59DF2	Genetic code
00A85511	Colloblast
00AF0F2F	PTK2B
00B7B334	Josephson effect
00BBB89C	Setpoint
00BF92AA	Biophysics
00C22211	Earmark
00C23D95	Drainage divide
00C4AFB7	Void coefficient
00CED130	Music education
00D561B7	Fusel alcohol
00DD3B70	Effective safety training
00E2767D	Check digit
00E2D160	Strictness analysis
00E31B93	Flynn effect
00E9D5C0	Beta-1 adrenergic receptor
00EC190B	Exit status
00EFAF77	Humanities
00F47327	DLCO
00F60C46	Deductive lambda calculus
00F687AA	Flight envelope protection
00F9D488	Haem peroxidase
00FE9F8F	Ethics of artificial intelligence
010242CE	Leachate
010496B3	Kohs block design test
0107D859	Medulla
010CF51D	Automatic test pattern generation
01143E23	Mycelial cord
011CA24F	Joint probability distribution
01207D37	Variable rules analysis
0120E453	Stream function
01212400	Space debris
01265E66	Animal models of autism
0126F192	Atomic electron transition
0127DE5E	Rabin–Karp algorithm
0132BD0C	Lamen
0132EA45	Pyroclastic fall
01367F5D	Architectural drawing
01380CC3	Detrended correspondence analysis
0138A5F7	Spaghetti plot
0139662C	Characteristic function
013B5126	Urban ecosystem
013C3E18	Cyclic group
013ED309	Object model
01410E6D	Fletcher's checksum
01422E7D	Adaptive software development
0149DC72	Metglas
014B33DA	CTLA-4
014B9022	Unix file types
014BF468	Signal programming
014C6AFC	Hungarian algorithm
014F6A64	Scientific pitch notation
0152D87D	Multistage amplifier
01531838	Glycolipid
01547858	Administrative services organization
01562CD8	Sutton's law
0156EEE5	Haplogroup G-M201
01577BDE	Vacant niche
0158BF8E	Pedigree chart
015C684C	Linguistic anthropology
015CE60A	Principle of faunal succession
0164572C	Billiard-ball computer
0166A15A	Clebsch–Gordan coefficients
01673BE6	Flory–Fox equation
01701F6B	Intentional programming
01716A13	Asymptotic formula
0174F06B	Biomimetic synthesis
017680E9	Cranial vault
017737EA	Wireless sensor network
0180FC53	Current injection technique
0184DBC0	Landweber iteration
01854568	Ecological study
0185ECA8	Fish fin
0186C657	Visual capture
0189EA35	mRNA surveillance
01905D82	Multivector
0190D957	Banach–Alaoglu theorem
019240E8	Nonlinear conjugate gradient method
0198365D	Cycle basis
01A3CB23	Spatial relation
01A52D26	Locality of reference
01A730BF	Dry cell
01A90380	Interference theory
01B636C4	Saturation vapor curve
01B9903F	Transepithelial potential difference
01BE0F7E	Uniformly Cauchy sequence
01BE17D4	Grand canonical ensemble
01C03457	Subharmonic function
01C8582E	Frameshift mutation
01C8DF92	Sedimentation
01CD966B	Transistor–transistor logic
01D11E9F	Smart Cut
01D17B12	Respondeat superior
01D2C66C	Tubular neighborhood
01D37BB5	Receivership
01DA51B9	Common knowledge
01E29A1C	Clique
01E3CA0E	Amyloid precursor protein
01E5FCF1	Vaseline
01E7DAE0	Reaching definition
01EAA28B	Division
